"country","year","preamble"
"slovakia",1992,"We, the Slovak People Bearing in mind the political and cultural heritage of our predecessors, the experience gained through centuries of struggle for our national existence, and statehood, Mindful of the spiritual bequest of Cyril and Methodius, and the historical legacy of Great Moravia, Recognizing the natural right of nations to self-determination, Together with members of national minorities and ethnic groups living in the Slovak Republic, In the interest of continuous peaceful cooperation with other democratic countries, Endeavoring to implement democratic forms of government, guarantee a life of freedom, and promote spiritual, cultural and economic prosperity, we, the citizens of the Slovak Republic, have, herewith and by our representatives, adopted this Constitution:"
"slovenia",1991,"Proceeding from the Basic Constitutional Charter on the Sovereignty and Independence of the Republic of Slovenia, and from fundamental human rights and freedoms, and the fundamental and permanent right of the Slovene nation to self-determination; and from the historical fact that in a centuries-long struggle for national liberation we Slovenes have established our national identity and asserted our statehood, the Assembly of the Republic of Slovenia hereby adopts"
"solomon_islands",1978,"We the people of Solomon Islands, proud of the wisdom and the worthy customs of our ancestors, mindful of our common and diverse heritage and conscious of our common destiny, do now, under the guiding hand of God, establish the sovereign democratic State of Solomon Islands; As a basis of our united nation DECLARE that a. all power in Solomon islands belongs to its people and is exercised on their behalf by the legislature, the executive and the judiciary established by this Constitution; b. the natural resources of our country are vested in the people and the government of Solomon Islands; AGREE AND PLEDGE that a. our government shall be based on democratic principles of universal suffrage and the responsibility of executive authorities to elected assemblies; b. we shall uphold the principles of equality, social justice and the equitable distribution of incomes; c. we shall respect and enhance human dignity and strengthen and build on our communal solidarity; d. we shall cherish and promote the different cultural traditions within Solomon Islands; e. we shall ensure the participation of our people in the governance of their affairs and provide within the framework of our national unity for the decentralisation of power; AND for these purposes we now give ourselves this Constitution."
"south_africa",1996,"We, the people of South Africa, Recognise the injustices of our past; Honour those who suffered for justice and freedom in our land; Respect those who have worked to build and develop our country; and Believe that South Africa belongs to all who live in it, united in our diversity. We therefore, through our freely elected representatives, adopt this Constitution as the supreme law of the Republic so as to Heal the divisions of the past and establish a society based on democratic values, social justice and fundamental human rights; Lay the foundations for a democratic and open society in which government is based on the will of the people and every citizen is equally protected by law; Improve the quality of life of all citizens and free the potential of each person; and Build a united and democratic South Africa able to take its rightful place as a sovereign state in the family of nations. May God protect our people. Nkosi Sikelel iAfrika. Morena boloka setjhaba sa heso. God sen Suid-Afrika. God bless South Africa. Mudzimu fhatutshedza Afurika. Hosi katekisa Afrika."
"south_sudan",2011,"We, the People of South Sudan, Grateful to the Almighty God for giving the people of South Sudan the wisdom and courage to determine their destiny and future through a free, transparent and peaceful referendum in accordance with the provisions of the Comprehensive Peace Agreement, 2005; Recalling our long and heroic struggle for justice, freedom, equality and dignity in South Sudan; Remembering and inspired by the selfless sacrifices of our martyrs, heroes and heroines; Dedicated to a genuine national healing process and the building of trust and confidence in our society through dialogue; Determined to lay the foundation for a united, peaceful and prosperous society based on justice, equality, respect for human rights and the rule of law; Committed to establishing a decentralized democratic multi-party system of governance in which power shall be peacefully transferred and to upholding values of human dignity and equal rights and duties of men and women; Conscious of the need to manage our natural resources sustainably and efficiently for the benefit of the present and future generations and to eradicate poverty and attain the Millennium Development Goals; Do hereby, through this Southern Sudan Legislative Assembly, amend the Interim Constitution of Southern Sudan, 2005, which shall be adopted and hereafter referred to as the Transitional Constitution of the Republic of South Sudan, 2011, and shall be the supreme law by which the independent and sovereign South Sudan shall be governed during the Transitional Period, and undertake to abide by, respect and defend it."
"spain",1978,"The Spanish Nation, desiring to establish justice, liberty, and security, and to promote the wellbeing of all its members, in the exercise of its sovereignty, proclaims its will to: Guarantee democratic coexistence within the Constitution and the laws, in accordance with a fair economic and social order. Consolidate a State of Law which ensures the rule of law as the expression of the popular will. Protect all Spaniards and peoples of Spain in the exercise of human rights, of their culture and traditions, languages and institutions. Promote the progress of culture and of the economy to ensure a dignified quality of life for all. Establish an advanced democratic society, and Cooperate in the strengthening of peaceful relations and effective cooperation among all the peoples of the earth. Therefore, the Cortes pass and the Spanish people ratifies the following."
"sri_lanka",1978,"The PEOPLE OF SRI LANKA having, by their Mandate freely expressed and granted on the Sixth day of the waxing moon in the month of Adhi Nikini in the year Two Thousand Five Hundred and Twenty one of the Buddhist Era (being Thursday the Twenty first day of the month of July in the year One Thousand Nine Hundred and Seventy seven), entrusted to and empowered their Representatives elected on that day to draft, adopt and operate a new Republican Constitution in order to achieve the goals of a DEMOCRATIC SOCIALIST REPUBLIC, and having solemnly resolved by the grant of such Mandate and the confidence reposed in their said Representatives who were elected by an overwhelming majority, to constitute SRI LANKA into a DEMOCRATIC SOCIALIST REPUBLIC whilst ratifying the immutable republican principles of REPRESENTATIVE DEMOCRACY and assuring to all peoples FREEDOM, EQUALITY, JUSTICE, FUNDAMENTAL HUMAN RIGHTS and the INDEPENDENCE OF THE JUDICIARY as the intangible heritage that guarantees the dignity and well-being of succeeding generations of the People of SRI LANKA and of all the people of the World, who come to share with those generations the effort of working for the creation and preservation of a JUSTAND FREE SOCIETY: WE, THE FREELY ELECTED REPRESENTATIVES OF THE PEOPLE OF SRI LANKA, in pursuance of such Mandate, humbly acknowledging our obligations to our People and gratefully remembering their heroic and unremitting struggle to regain and preserve their rights and privileges so that the Dignity and Freedom of the Individual may be assured, Just, Social, Economic and Cultural Order attained, the Unity of the Country restored, and Concord established with other Nations, do hereby adopt and enact this CONSTITUTION as the SUPREME LAW of the DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA."
"sudan",2005,"We the people of the Sudan Grateful to Almighty God who has bestowed upon us the wisdom and will to reach a Comprehensive Peace Agreement that has definitively put an end to the longest running conflict in Africa, Having survived the tragic consequences that have characterized that debilitating conflict, Mindful of religious, racial, ethnic and cultural diversity in the Sudan, Committed to establish a decentralized democratic system of governance in which power shall be peacefully transferred and to uphold justice, equality, human dignity and equal rights and duties of men and women, Further committed to gearing governance, in the coming phase of our political advancement, towards the enhancement of economic development, promotion of social harmony, deepening of religious tolerance and building trust and confidence in the society generally, Committed to the Comprehensive Peace Agreement of January 2005, guided by the 1998 Constitution and the Sudanese constitutional experience since independence and other relevant experiences, Cognizant of conferences and the initiative of inclusive popular dialogue and agreements of peace and national reconciliation, particularly the Cairo Agreement signed in June 2005, and prospects of other peace agreements to end conflicts in the country, Do hereby adopt this Constitution as the supreme law by which the Republic of the Sudan shall be governed during the Interim Period; and we undertake to respect and protect it."
"suriname",1987,"WE, THE PEOPLE OF SURINAME, inspired by the love for this Country and the belief in the power of the Almighty and guided by the centuries-long struggle of our people against colonialism, which was terminated by the establishment of the Republic of Suriname on 25 November 1975, taking the coup d'tat of 25 February 1980 and the consequences thereof, conscious of our duty to combat and to prevent every form of foreign domination, resolved to defend and protect the national sovereignty, independence and integrity, assured of the will to determine our economic, social and cultural development in full freedom convinced of our duty to honor and to guarantee the principles of freedom, equality and democracy as well as the fundamental rights and freedoms of man, inspired by a civic spirit and by the participation in the construction, expansion and maintenance of a society that is socially just, determined to collaborate with one another and with all peoples of the world on the basis of freedom, equality, peaceful coexistence and international solidarity, SOLEMNLY DECLARE, TO ACCEPT, AS A RESULT OF THE PLEBISCITE HELD, THE FOLLOWING CONSTITUTION."
"swaziland",2005,"Whereas We the People of the Kingdom of Swaziland do hereby undertake in humble submission to Almighty God to start afresh under a new framework of constitutional dispensation; Whereas as a Nation it has always been our desire to achieve full freedom and independence under a constitution created by ourselves for ourselves in complete liberty; Whereas various vusela consultations, economic and constitutional commissions, political experiments and Sibaya meetings have been established and undertaken in the last thirty years in search of a sustainable home-grown political order; Whereas it has become necessary to review the various constitutional documents, decrees, laws, customs and practices so as to promote good governance, the rule of law, respect for our institutions and the progressive development of the Swazi society; Whereas it is necessary to blend the good institutions of traditional Law and custom with those of an open and democratic society so as to promote transparency and the social, economic and cultural development of our Nation; Whereas it is necessary to protect and promote the fundamental rights and freedoms of ALL in our Kingdom in terms of a constitution which binds the Legislature, the Executive, the Judiciary and the other Organs and Agencies of the Government; Whereas all the branches of government are the Guardians of the Constitution, it is necessary that the Courts be the ultimate Interpreters of the Constitution; Whereas as a Nation we desire to march forward progressively under our own constitution guaranteeing peace, order and good government, and the happiness and welfare of ALL our people; Whereas the Constitution in draft form was circulated to the nation in both official languages, was vetted by the people at tinkhundla and Sibaya meetings; Now, THEREFORE, WE, iNgwenyamain-Council, acting together with and on the Approval of the Swazi Nation meeting as the Swazi National Council assembled at Ludzidzini this 4th day of October, 2004, hereby Accept the following Constitution as the Supreme Law of the Land."
"switzerland",1999,"In the name of Almighty God! The Swiss People and the Cantons, mindful of their responsibility towards creation, resolved to renew their alliance so as to strengthen liberty, democracy, independence and peace in a spirit of solidarity and openness towards the world, determined to live together with mutual consideration and respect for their diversity, conscious of their common achievements and their responsibility towards future generations, and in the knowledge that only those who use their freedom remain free, and that the strength of a people is measured by the well-being of its weakest members; adopt the following Constitution:"
"syrian_arab_republic",2012,"Arab civilization, which is part of human heritage, has faced through its long history great challenges aimed at breaking its will and subjecting it to colonial domination, but it has always rose through its own creative abilities to exercise its role in building human civilization. The Syrian Arab Republic is proud of its Arab identity and the fact that its people are an integral part of the Arab nation. The Syrian Arab Republic embodies this belonging in its national and pan-Arab project and the work to support Arab cooperation in order to promote integration and achieve the unity of the Arab nation. The Syrian Arab Republic considers international peace and security a key objective and a strategic choice, and it works on achieving both of them under the International Law and the values of right and justice. The Syrian Arab role has increased on the regional and international levels over the past decades, which has led to achieving human and national aspirations and achievements in all fields and domains. Syria has occupied an important political position as it is the beating heart of Arabism, the forefront of confrontation with the Zionist enemy and the bedrock of resistance against colonial hegemony on the Arab world and its capabilities and wealth. The long struggle and sacrifices of our people for the sake of its independence, progress and national unity has paved the way for building the strong state and promoting cohesion between the people and their Syrian Arab army which is the main guarantor and protector of the homelands sovereignty, security, stability and territorial integrity; thus, forming the solid foundation of the peoples struggle for liberating all occupied territories. The Syrian society with all its components and constituents and through its popular, political and civil institutions and organizations, has managed to accomplish achievements that demonstrated the depth of civilizational accumulation represented by the Syrian society, its unwavering will and its ability to keep pace with the changes and to create the appropriate environment to maintain its human role as a historical and effective power in the march of human civilization. Since the beginning of the 21st century, Syria, both as people and institutions had faced the challenge of development and modernization during tough regional and international circumstances which targeted its national sovereignty. This has formed the incentive to accomplish this Constitution as the basis for strengthening the rule of law. The completion of this Constitution is the culmination of the peoples struggle on the road to freedom and democracy. It is a real embodiment of achievements, a response to shifts and changes, an evidence of organizing the march of the state towards the future, a regulator of the movement of its institutions and a source of legislation. All of this is attainable through a system of fundamental principles that enshrines independence, sovereignty and the rule of the people based on election, political and party pluralism and the protection of national unity, cultural diversity, public freedoms, human rights, social justice, equality, equal opportunities, citizenship and the rule of law, where the society and the citizen are the objective and purpose for which every national effort is dedicated. Preserving the dignity of the society and the citizen is an indicator of the civilization of the country and the prestige of the state."
"taiwan",1947,"The National Constituent Assembly of the Republic of China, by virtue of the mandate received from the whole body of citizens, in accordance with the teachings bequeathed by Dr. Sun Yat-sen in founding the Republic of China, and in order to consolidate the authority of the State, safeguard the rights of the people, ensure social tranquility, and promote the welfare of the people, do hereby adopt this Constitution to be promulgated throughout the land for faithful and perpetual observance by all."
"tajikistan",1994,"WE, THE PEOPLE OF TAJIKISTAN, As an inseparable part of the world community, Realizing our debt and our responsibility to the past, present and future generations, Understanding the necessity of ensuring the sovereignty and development of our State, Recognizing as unshakable the freedom and rights of man, Respecting the equality of rights and friendship of all nations and nationalities, Seeking to build a just society, ADOPT AND PROCLAIM THIS CONSTITUTION"
"thailand",2014,"SOMDET PHRA PARAMINTHARAMAHA BHUMIBOL ADUYADEJ SAYAMINTHARATHIRAT BOROMMANATTHABOPHIT Given on the 22nd Day of July B.E. 2557 (2014) Being the 69th Year of the Present Reign Phrabat Somdet Phra Paramintharamaha Bhumibol Aduyadej Mahitalathibet Ramathibodi Chakkri Narubodin Sayamintharathirat Borommanatthabophit is graciously pleased to proclaim that: Whereas the National Council for Peace and Order comprising military and police forces respectfully informed His Majesty that severe political conflict had emerged and continued within the precinct of Bangkok Metropolitan and the contiguous areas for the extended period of time and had hastily spread throughout almost all regions of the country. This situation had not only broken the unification of the people but also instituted harmful attitude amongst Thais. The use of illegal force and lethal weapons against whom having different attitudes came out several times. Public safety and living conditions of the people became hardship accordingly. National economic and State administration had then been interrupted and the exercise of the sovereign powers through the legislative, the executive and the judiciary had likewise been disrupted thereby. Law enforcement was failure. This sort of perplexity had never been found. Though the government tried to solve the problem through the existed legal mechanisms and measures, e.g. applying the laws relating to the maintenance of public peace and order, dissolving the House of Representatives and running the general election; and such third parties as private entities, the Constitutional Organizations, political parties, the armed forces and the Senate tried to figure out the conflict by means of peaceful negotiation, these tries however came to no avail. In addition, the new legal and political conflicts unveiled and made the problems more complicated. The divergence of thoughts had broadened widely and became more seriously till the portrayal of riot was foreseeable. This chaotic situation might be harmful to lives, properties and living conditions of the public at large, works and debts of farmers; especially rice farmers, national economic development, prevention of natural disasters, trust in sovereign powers and confidence of foreign investors. Further, criminals took this chance to do more crimes and ignited much unrest which inevitably undermined national security and reliance of the public to the democratic regime of government with the King as the Head of State. The National Council for Peace and Order therefore had no choice to deal with the problems other than seizing and taking control of the State administration on the 22nd Day of May B.E. 2557 (2014). In addition to declaring the Constitution of the Kingdom of Thailand B.E. 2550 (2007), except the provisions of Chapter II The King, come to an end, the National Council for Peace and Order planned to restore national peace and order and the plan was divided into three phrases. The first and most urgent phrase was to deter the use of illegal force and lethal weapons, to cease public mistrust and to alleviate economic, social, political and administrative problems accumulated for more than six months. The second phrase was to bring into force the Interim Constitution in order to establish the National Legislative Assembly to exercise the legislative power and the Council of Ministers to exercise the executive power so as to restore national peace and order, public unification and justice, to solve economic, social, political and administrative problems and to enact urgent and necessity legislations. The National Reform Council and other necessary entities shall be established to drive political and other reformations systematically. The new Constitution laying down appropriate political system, measures for prevention and suppression of corruption and efficient, effective and fair measures for examination of the exercise of State powers shall also be drafted and completed within this phrase. All these missions shall be handed on to the representatives and the Council of Ministers under the new Constitution in the last and final phrase. For the completion of the restoration plan as mentioned above, regard shall be had to fundamental principles rather than symbolic procedure of the democratic regime of government. In order to facilitate the restoration process, peaceful atmosphere and harmony shall be created and maintained so as to bring back public pleasure, meanwhile the unclear, inefficient and unfair rules and procedures which were the causes of conflict shall be reviewed in compliance with real public needs. Though the completion of the restoration process as planned might take a period of time, but value arising therefrom would be better than letting the crisis went along disorderly. Be it, therefore, commanded by the King that the following provisions shall be promulgated as the Interim Constitution of the Kingdom of Thailand until the new Constitution drafted under the provisions of this Constitution comes into force."
"timor-leste",2002,"The independence of East Timor, proclaimed by the Frente Revolucionria of Independent East Timor (FRETILIN) on November 28, 1975, is internationally recognized on May 20, 2002, following the liberation of the Timorese people from the colonization and occupation of the Maubere Motherland by foreign powers. The elaboration and adoption of the Constitution of the Democratic Republic of East Timor is the culmination of the secular resistance of the Timorese People intensified following the invasion of December 7, 1975. The struggle waged against the enemy, initially under the leadership of FRETILIN, gave way to more comprehensive forms of political participation, particularly in the wake of the establishment of the National Council of the Maubere Resistance (CNRT) in 1987 and the National Council of Timorese Resistance (CNRT) in 1998. The Resistance was divided into three fronts. The armed front was carried out by the glorious Foras Armadas de Libertao Nacional de Timor-Leste (FALINTIL) whose historical undertaking is to be praised. The action of the clandestine front, astutely unleashed in hostile territory, involved the sacrifice of thousands of lives of women and men, especially the youth, who fought with abnegation for freedom and independence. The diplomatic front, harmoniously carried out all over the world, enabled the opening of the way for definitive liberation. In its cultural and humane perspective, the Catholic Church in East Timor has always been able to take on the suffering of all the People with dignity, placing itself on their side in the defense of their most elementary rights. Ultimately, the present Constitution represents a heart-felt tribute to all martyrs of the Motherland. Thus, the Members of the Constituent Assembly, as the legitimate representatives of the People, were elected on August 30, 2001. Based further on the results of the referendum of August 30, 1999, organized under the auspices of the United Nations, which confirmed the self-determined will for independence; Fully conscious of the need to build a democratic and institutional culture appropriate for a State based on the rule of law where respect for the Constitution, for the laws and for democratically elected institutions constitute its unquestionable foundation; Interpreting the profound sentiment, the aspirations and the faith in God of the People of East Timor; Solemnly reaffirm their determination to fight all forms of tyranny, oppression, social, cultural or religious domination and segregation, to defend national independence, to respect and guarantee human rights and the fundamental rights of the citizen, to ensure the principle of the separation of powers in the organization of the State, and to establish the essential rules of multi-party democracy, with a view to building a just and prosperous nation and developing a society of solidarity and fraternity. The Constituent Assembly, meeting in plenary session on March 22, 2002, approves and decrees the following Constitution of the Democratic Republic of East Timor."
"togo",1992,"We, the Togolese people, placing ourselves under the protection of God, - conscious that since its accession to international sovereignty [on] 27 April 1960, Togo, our country, has been marked by profound socio-political mutation on its march towards progress, - conscious of the solidarity that binds us to the international community and most particularly to the African peoples, - committed to build a State of Law in which the fundamental rights of Man, the public freedoms and the dignity of the human person must be guaranteed and protected, - convinced that such a State can only be founded on political pluralism, the principles of Democracy and the protection of the Rights of Man such as are defined by the Charter of the United Nations of 1945, the Universal Declaration of the Rights of Man of 1948 and the International Pacts of 1966, [and] the African Charter of the Rights of Man and of Peoples adopted in 1981 by the Organization of African Unity, * we proclaim solemnly our firm will to combat any political regime founded on arbitrariness, dictatorship [and] injustice, * we affirm our determination to cooperate in peace, amity and solidarity with all people of the world enamored of the democratic ideal, on the basis of the principles of equality, of mutual respect and of sovereignty, * we engage resolutely to defend the cause of National Unity, of African Unity and to work for the realization of sub-regional and regional integration, * we approve and adopt, solemnly, this Constitution as Fundamental Law of the State[,] of which this preamble is made [an] integral part."
"tonga",1875,"Granted by His Majesty King George Tupou I on the fourth day of November One thousand eight hundred and seventy-five and amended in accordance with the law on divers dates [FN: The 1966 Act to amend the Constitution had not, as at 31 December 1988, been brought into operation but the amendments made by it are included in this Revised Edition. Each section affected is noted to this effect. The amendments relate to the Court of Appeal. The Act not yet in force is the Constitution (Court of Appeal Amendment) Act, 1966; Act 13 of 1966.)] in and between the year One thousand eight hundred and eighty and the year One thousand nine hundred and eighty-eight and revised in accordance with the Laws Consolidation Act on the thirty-first day of December, 1988."
"trinidad_and_tobago",1976,"Whereas the People of Trinidad and Tobago a. have affirmed that the Nation of Trinidad and Tobago is founded upon principles that acknowledge the supremacy of God, faith in fundamental human rights and freedoms, the position of the family in a society of free men and free institutions, the dignity of the human person and the equal and inalienable rights with which all members of the human family are endowed by their Creator; b. respect the principles of social justice and therefore believe that the operation of the economic system should result in the material resources of the community being so distributed as to subserve the common good, that there should be adequate means of livelihood for all, that labour should not be exploited or forced by economic necessity to operate in inhumane conditions but that there should be opportunity for advancement on the basis of recognition of merit, ability and integrity; c. have asserted their belief in a democratic society in which all persons may, to the extent of their capacity, play some part in the institutions of the national life and thus develop and maintain due respect for lawfully constituted authority; d. recognise that men and institutions remain free only when freedom is founded upon respect for moral and spiritual values and the rule of law; e. desire that their Constitution should enshrine the above-mentioned principles and beliefs and make provision for ensuring the protection in Trinidad and Tobago of fundamental human rights and freedoms; Now, therefore, the following provisions shall have effect as the Constitution of the Republic of Trinidad and Tobago:"
"tunisia",2014,"In the Name of God, the Merciful, the Compassionate We, the representatives of the Tunisian people, members of the National Constituent Assembly, Taking pride in the struggle of our people to gain independence and build the state, to free ourselves from tyranny, to affirm our free will and to achieve the objectives of the revolution for freedom and dignity, the revolution of December 17, 2010 through January 14, 2011, with loyalty to the blood of our virtuous martyrs, to the sacrifices of Tunisian men and women over the course of generations, and breaking with injustice, inequity, and corruption. Expressing our peoples commitment to the teachings of Islam, to their spirit of openness and tolerance, to human values and the highest principles of universal human rights, inspired by the heritage of our civilization, accumulated over the travails of our history, from our enlightened reformist movements that are based on the foundations of our Islamic-Arab identity and on the gains of human civilization, and adhering to the national gains achieved by our people; With a view to building a participatory, democratic, republican system, in the framework of a civil state founded on the law and on the sovereignty of the people, exercised through the peaceful alternation of power through free elections. A political system founded on the principle of the separation and balance of powers, which guarantees the freedom of association in conformity with the principles of pluralism, an impartial administration, and good governance, which are the foundations of political competition, a system that guarantees respect for human rights and freedoms, independence of the judiciary, equality of rights and duties between all citizens, male and female, and equality between all regions; Based on the elevated status of humankind and desirous of consolidating our cultural and civilizational affiliation to the Arab and Muslim nation, building on our national unity that is based on citizenship, fraternity, solidarity, and social justice, committed to strengthening Maghreb unity as a step towards achieving Arab unity, towards complementarity with the Muslim and African peoples, and towards cooperation with all the peoples of the world, desirous of supporting all victims of injustice, wherever they are, defending the peoples right to determine their own destiny, to supporting all just liberation movements, at the forefront of which is the movement for the liberation of Palestine; and opposing all forms of colonization and of racism; Being aware of the necessity of contributing to the preservation of a healthy environment that guarantees the sustainability of our natural resources and bequeathing a secure life to future generations, realizing the will of the people to be the makers of their own history, believing in science, work, and creativity as noble human values, seeking always to be pioneers, aspiring to contribute to the development of civilization, on the basis of the independence of national decision-making, world peace, and human solidarity; We, in the name of the Tunisian people, with the help of God, draft this Constitution."
"turkey",1982,"Affirming the eternal existence of the Turkish Motherland and Nation and the indivisible unity of the Sublime Turkish State, this Constitution, in line with the concept of nationalism introduced by the founder of the Republic of Turkey, Atatrk, the immortal leader and the unrivalled hero, and his reforms and principles; Determining to attain the everlasting existence, prosperity, material and spiritual well-being of the Republic of Turkey, and the standards of contemporary civilization as an honourable member with equal rights of the family of world nations; The absolute supremacy of the will of the nation, the fact that sovereignty is vested fully and unconditionally in the Turkish Nation and that no individual or body empowered to exercise this sovereignty in the name of the nation shall deviate from the liberal democracy indicated in the Constitution and the legal system instituted according to its requirements, The separation of powers, which does not imply an order of precedence among the organs of the State, but refers solely to the exercising of certain state powers and discharging of duties, and is limited to a civilized cooperation and division of functions; and the fact that only the Constitution and the laws have the supremacy; That no protection shall be accorded to an activity contrary to Turkish national interests, Turkish existence and the principle of its indivisibility with its State and territory, historical and moral values of Turkishness; the nationalism, principles, reforms and civilizationism of Atatrk and that sacred religious feelings shall absolutely not be involved in state affairs and politics as required by the principle of secularism; That every Turkish citizen has an innate right and power, to lead an honourable life and to improve his/her material and spiritual wellbeing under the aegis of national culture, civilization, and the rule of law, through the exercise of the fundamental rights and freedoms set forth in this Constitution, in conformity with the requirements of equality and social justice; That all Turkish citizens are united in national honour and pride, in national joy and grief, in their rights and duties regarding national existence, in blessings and in burdens, and in every manifestation of national life, and that they have the right to demand a peaceful life based on absolute respect for one anothers rights and freedoms, mutual love and fellowship, and the desire for and belief in Peace at home; peace in the world; With these IDEAS, BELIEFS, and RESOLUTIONS to be interpreted and implemented accordingly, thus commanding respect for, and absolute loyalty to, its letter and spirit; Has been entrusted by the TURKISH NATION to the democracy-loving Turkish sons and daughters love for the motherland and nation."
"turkmenistan",2008,"We, the people of Turkmenistan, based on our inalienable right to determine our destiny; Proceeding from the responsibility for present and future of the Motherland; Expressing loyalty to the covenant of ancestors to live in unity, peace and harmony; With the aim of protecting the national values and interests, strengthening the independence, sovereignty, the status of permanent neutrality of Turkmenistan; Guaranteeing the rights and freedoms of each person and citizen, and seeking to ensure civil peace and national accord in the society, to substantiate the foundations of democracy and democratic, legal, secular state, we adopt the present Constitution - the Basic Law of Turkmenistan."
"tuvalu",1986,"WHEREAS in adopting the Independence Constitution of Tuvalu the people of Tuvalu provided in the Preamble to it as follows: WHEREAS the Islands in the Pacific Ocean then known as the Ellice Islands came under the protection of Her Most Gracious Majesty Queen Victoria in September 1892 and on 12 January 1916 in conjunction with the Gilbert Islands became known as the Gilbert and Ellice Islands Colony; AND WHEREAS on 1 October 1975 Her Most Excellent Majesty Queen Elizabeth II was graciously pleased to establish the Ellice Islands as a separate colony under their ancient name of Tuvalu; AND WHEREAS the people of Tuvalu, acknowledging God as the Almighty and Everlasting Lord and giver of all good things, humbly place themselves under His good providence and seek His blessing upon themselves and their lives; AND WHEREAS the people of Tuvalu desire to constitute themselves as an Independent State based on Christian principles, the Rule of Law, and Tuvaluan custom and tradition; NOW THEREFORE the people of Tuvalu hereby affirm their allegiance to Her Most Excellent Majesty Queen Elizabeth II, Her Heirs and Successors, and do hereby proclaim the establishment of a free and democratic sovereign nation..; AND WHEREAS the Constitution then adopted, which was given the force of law by Order in Council of Her Most Excellent Majesty dated 25 July 1978 and taking effect on 1 October 1978, provided for its amendment or replacement by Ordinance of the Parliament established by it for Tuvalu; AND WHEREAS that Constitution has served the people of Tuvalu well since Independence but now, more than seven years since its adoption, it is time that the people of Tuvalu reconsidered it in the light of their history and their present and future needs as they see them; NOW THEREFORE, the people of Tuvalu, having considered, as individuals, in their maneapas and island councils, and in their Parliament, what should be in their constitution, give to themselves the following Constitution: IN SO DOING, the people of Tuvalu set out for themselves and for their governmental institutions, the following Principles: Principles of the Constitution 1. The principles set out in the Preamble to the Independence Constitution are re-affirmed and re-adopted. 2. The right of the people of Tuvalu, both present and future, to a full, free and happy life, and to moral, spiritual, personal and material welfare, is affirmed as one given to them by God. 3. While believing that Tuvalu must take its rightful place amongst the community of nations in search of peace and the general welfare, nevertheless the people of Tuvalu recognize and affirm, with gratitude to God, that the stability of Tuvaluan society and the happiness and welfare of the people of Tuvalu, both present and future, depend very largely on the maintenance of Tuvaluan values, culture and tradition, including the vitality and the sense of identity of island communities and attitudes of co-operation, self- help and unity within and amongst those communities. 4. Amongst the values that the people of Tuvalu seek to maintain are their traditional forms of communities, the strength and support of the family and family discipline. 5. In government, and in social affairs generally, the guiding principles of Tuvalu are agreement, courtesy and the search for consensus, in accordance with traditional Tuvaluan procedures, rather than alien ideas of confrontation and divisiveness; the need for mutual respect and co-operation between the different kinds of authorities concerned, including the central Government, the traditional authorities, local governments and authorities, and the religious authorities. 6. The life and the laws of Tuvalu should therefore be based on respect for human dignity, and on the acceptance of Tuvaluan values and culture, and on respect for them. 7. Nevertheless, the people of Tuvalu recognize that in a changing world, and with changing needs, these principles and values, and the manner and form of their expression (especially in legal and administrative matters), will gradually change, and the Constitution not only must recognize their fundamental importance to the life of Tuvalu but also must not unnecessarily hamper their expression and their development. THESE PRINCIPLES, under the guidance of God, are solemnly adopted and affirmed as the basis of this Constitution, and as the guiding principles to be observed in its interpretation and application at all levels of government and organized life."
"uganda",1995,"WE THE PEOPLE OF UGANDA: RECALLING our history which has been characterised by political and constitutional instability; RECOGNISING our struggles against the forces of tyranny, oppression and exploitation; COMMITTED to building a better future by establishing a socio-economic and political order through a popular and durable national Constitution based on the principles of unity, peace, equality, democracy, freedom, social justice and progress; EXERCISING our sovereign and inalienable right to determine the form of governance for our country, and having fully participated in the Constitution-making process; NOTING that a Constituent Assembly was established to represent us and to debate the Draft Constitution prepared by the Uganda Constitutional Commission and to adopt and enact a Constitution for Uganda: DO HEREBY, in and through this Constituent Assembly solemnly adopt, enact and give to ourselves and our posterity, this Constitution of the Republic of Uganda, this 22nd day of September, in the year 1995. FOR GOD AND MY COUNTRY"
"ukraine",1996,"The Verkhovna Rada of Ukraine, on behalf of the Ukrainian people - citizens of Ukraine of all nationalities, expressing the sovereign will of the people, based on the centuries-old history of Ukrainian state-building and on the right to self-determination realised by the Ukrainian nation, all the Ukrainian people, providing for the guarantee of human rights and freedoms and of the worthy conditions of human life, caring for the strengthening of civil harmony on Ukrainian soil, striving to develop and strengthen a democratic, social, law-based state, aware of our responsibility before God, our own conscience, past, present and future generations, guided by the Act of Declaration of the Independence of Ukraine of 24 August 1991, approved by the national vote of 1 December 1991, adopts this Constitution  the Fundamental Law of Ukraine."
