"study","treatment","therm1","therm2","therm3","therm4"
1,"Recycling Script by Straight Canvasser",98,98,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",67,64,75,69
2,"No Contact",52,NA,38,59
1,"Recycling Script by Straight Canvasser",3,3,NA,NA
1,"No Contact",47,47,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",63,68,70,69
1,"No Contact",49,49,NA,NA
1,"Recycling Script by Gay Canvasser",50,48,NA,NA
1,"Recycling Script by Straight Canvasser",53,53,NA,NA
1,"Recycling Script by Straight Canvasser",74,74,NA,NA
1,"No Contact",46,46,NA,NA
1,"Recycling Script by Straight Canvasser",41,NA,NA,NA
1,"No Contact",2,2,NA,NA
1,"Recycling Script by Gay Canvasser",52,52,NA,NA
1,"No Contact",1,1,NA,NA
1,"Recycling Script by Straight Canvasser",67,67,NA,NA
1,"Recycling Script by Straight Canvasser",50,49,NA,NA
1,"Recycling Script by Gay Canvasser",91,91,NA,NA
1,"No Contact",50,51,NA,NA
1,"No Contact",100,100,NA,NA
1,"Recycling Script by Gay Canvasser",99,99,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,53,39,64
1,"No Contact",54,54,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",81,81,NA,NA
2,"No Contact",3,0,0,1
1,"No Contact",100,100,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
1,"No Contact",78,78,NA,NA
1,"No Contact",69,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,53,NA,NA
1,"No Contact",31,31,NA,NA
1,"Recycling Script by Straight Canvasser",54,54,NA,NA
1,"No Contact",27,27,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",39,39,NA,NA
1,"Recycling Script by Straight Canvasser",27,27,NA,NA
1,"No Contact",50,47,NA,NA
1,"No Contact",88,88,NA,NA
1,"No Contact",2,2,NA,NA
2,"No Contact",48,54,44,58
2,"Same-Sex Marriage Script by Gay Canvasser",12,NA,9,0
2,"No Contact",51,59,58,37
2,"No Contact",56,40,NA,56
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"No Contact",53,53,NA,NA
1,"Recycling Script by Straight Canvasser",40,40,NA,NA
1,"Recycling Script by Straight Canvasser",100,100,NA,NA
1,"No Contact",34,34,NA,NA
1,"No Contact",52,NA,NA,NA
1,"No Contact",3,3,NA,NA
1,"No Contact",87,87,NA,NA
2,"No Contact",72,73,68,67
1,"No Contact",50,56,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",1,NA,32,30
1,"Same-Sex Marriage Script by Gay Canvasser",91,91,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",47,45,54,55
1,"No Contact",80,80,NA,NA
2,"No Contact",52,NA,60,NA
1,"Recycling Script by Straight Canvasser",46,46,NA,NA
1,"No Contact",80,80,NA,NA
1,"Recycling Script by Gay Canvasser",85,85,NA,NA
2,"No Contact",100,100,96,97
2,"Same-Sex Marriage Script by Gay Canvasser",50,64,47,59
1,"Same-Sex Marriage Script by Gay Canvasser",50,58,NA,NA
1,"No Contact",55,55,NA,NA
2,"No Contact",74,74,78,70
1,"No Contact",42,42,NA,NA
1,"Recycling Script by Straight Canvasser",46,46,NA,NA
1,"No Contact",50,46,NA,NA
1,"No Contact",50,53,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",52,NA,49,44
1,"No Contact",6,6,NA,NA
1,"Recycling Script by Gay Canvasser",1,1,NA,NA
2,"No Contact",51,43,45,37
1,"No Contact",2,2,NA,NA
2,"No Contact",76,70,88,NA
1,"No Contact",70,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,99,NA,NA
1,"Recycling Script by Straight Canvasser",60,60,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,44,51,41
1,"No Contact",49,49,NA,NA
1,"No Contact",91,91,NA,NA
1,"Recycling Script by Gay Canvasser",3,3,NA,NA
1,"Recycling Script by Straight Canvasser",50,NA,NA,NA
1,"No Contact",50,52,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",6,6,NA,NA
1,"No Contact",85,85,NA,NA
1,"No Contact",48,NA,NA,NA
1,"No Contact",91,91,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",21,21,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,NA,100,100
1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
1,"No Contact",66,66,NA,NA
1,"Recycling Script by Gay Canvasser",80,80,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",85,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,100,100
1,"Recycling Script by Gay Canvasser",100,97,NA,NA
1,"No Contact",42,42,NA,NA
1,"Recycling Script by Straight Canvasser",75,75,NA,NA
1,"Recycling Script by Gay Canvasser",76,76,NA,NA
1,"No Contact",78,78,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",42,NA,33,NA
1,"Recycling Script by Straight Canvasser",52,52,NA,NA
1,"Recycling Script by Gay Canvasser",44,44,NA,NA
1,"Recycling Script by Gay Canvasser",3,3,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",9,9,NA,NA
1,"No Contact",91,91,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",31,NA,NA,NA
1,"Recycling Script by Gay Canvasser",54,54,NA,NA
1,"No Contact",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",34,42,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",48,48,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",61,NA,NA,NA
1,"Recycling Script by Straight Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",81,92,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",73,NA,88,82
1,"No Contact",100,99,NA,NA
1,"No Contact",78,78,NA,NA
2,"No Contact",51,NA,NA,52
1,"No Contact",100,99,NA,NA
1,"No Contact",76,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"No Contact",45,NA,NA,NA
2,"No Contact",7,10,14,3
1,"No Contact",50,46,NA,NA
1,"No Contact",51,51,NA,NA
1,"Recycling Script by Straight Canvasser",86,86,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",25,25,NA,NA
1,"No Contact",68,NA,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",20,20,NA,NA
1,"No Contact",1,1,NA,NA
1,"No Contact",50,42,NA,NA
1,"No Contact",3,3,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",99,99,NA,NA
1,"Recycling Script by Gay Canvasser",50,49,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",13,19,16,9
1,"No Contact",8,8,NA,NA
1,"Recycling Script by Straight Canvasser",50,43,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",91,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",96,99,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,NA,NA,NA
1,"Recycling Script by Gay Canvasser",50,49,NA,NA
1,"No Contact",71,71,NA,NA
1,"Recycling Script by Straight Canvasser",50,NA,NA,NA
1,"No Contact",91,91,NA,NA
1,"No Contact",50,49,NA,NA
1,"Recycling Script by Gay Canvasser",90,88,NA,NA
2,"No Contact",99,96,92,89
1,"No Contact",54,54,NA,NA
2,"No Contact",98,93,99,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
1,"No Contact",34,34,NA,NA
1,"No Contact",50,41,NA,NA
2,"No Contact",69,51,55,59
1,"No Contact",75,75,NA,NA
1,"No Contact",100,NA,NA,NA
1,"No Contact",50,56,NA,NA
1,"Recycling Script by Straight Canvasser",70,70,NA,NA
1,"No Contact",50,49,NA,NA
2,"No Contact",81,80,91,67
2,"No Contact",50,51,53,46
2,"Same-Sex Marriage Script by Gay Canvasser",70,NA,94,98
1,"Recycling Script by Gay Canvasser",89,89,NA,NA
2,"No Contact",62,55,67,69
1,"No Contact",70,70,NA,NA
1,"No Contact",27,27,NA,NA
1,"Recycling Script by Straight Canvasser",58,63,NA,NA
1,"Recycling Script by Gay Canvasser",46,46,NA,NA
1,"No Contact",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,49,NA,NA
1,"No Contact",100,NA,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",50,47,NA,NA
1,"No Contact",11,11,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,NA,100,100
2,"No Contact",87,77,86,96
1,"No Contact",40,40,NA,NA
2,"No Contact",96,96,NA,NA
1,"No Contact",61,61,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",92,85,100,98
2,"No Contact",100,97,94,91
1,"Same-Sex Marriage Script by Gay Canvasser",47,50,NA,NA
1,"Recycling Script by Straight Canvasser",50,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",70,72,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",40,NA,60,63
1,"No Contact",63,63,NA,NA
1,"Recycling Script by Straight Canvasser",96,96,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",60,64,NA,NA
1,"Recycling Script by Gay Canvasser",69,69,NA,NA
1,"No Contact",68,NA,NA,NA
1,"Recycling Script by Straight Canvasser",50,43,NA,NA
1,"No Contact",61,61,NA,NA
2,"No Contact",51,54,59,58
1,"No Contact",19,19,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",71,71,NA,NA
1,"No Contact",89,89,NA,NA
1,"Recycling Script by Straight Canvasser",49,49,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",20,37,NA,34
1,"No Contact",81,81,NA,NA
1,"No Contact",11,11,NA,NA
1,"Recycling Script by Gay Canvasser",52,52,NA,NA
1,"No Contact",51,51,NA,NA
1,"Recycling Script by Straight Canvasser",50,48,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",50,53,NA,NA
1,"No Contact",11,11,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",70,70,NA,NA
1,"No Contact",66,66,NA,NA
1,"No Contact",42,42,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",33,35,47,34
1,"Recycling Script by Straight Canvasser",50,46,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",88,83,83,NA
1,"Recycling Script by Straight Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",34,34,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,44,NA,NA
1,"No Contact",27,NA,NA,NA
1,"No Contact",50,55,NA,NA
1,"No Contact",62,62,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"No Contact",68,68,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",41,41,NA,NA
1,"No Contact",100,92,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",13,NA,21,8
1,"No Contact",90,NA,NA,NA
1,"No Contact",50,50,NA,NA
1,"No Contact",99,99,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,52,NA,NA
1,"Recycling Script by Straight Canvasser",50,49,NA,NA
2,"No Contact",99,91,100,100
1,"No Contact",50,47,NA,NA
1,"Recycling Script by Straight Canvasser",87,87,NA,NA
1,"Recycling Script by Gay Canvasser",80,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",74,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",26,25,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,53,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",96,100,99,100
2,"Same-Sex Marriage Script by Gay Canvasser",70,73,67,86
2,"Same-Sex Marriage Script by Gay Canvasser",86,90,88,82
2,"Same-Sex Marriage Script by Gay Canvasser",50,51,57,46
1,"Same-Sex Marriage Script by Gay Canvasser",77,77,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"Recycling Script by Gay Canvasser",70,70,NA,NA
1,"No Contact",55,NA,NA,NA
1,"No Contact",61,61,NA,NA
1,"No Contact",47,47,NA,NA
2,"No Contact",4,1,0,2
1,"Recycling Script by Straight Canvasser",50,51,NA,NA
1,"No Contact",100,NA,NA,NA
1,"No Contact",50,50,NA,NA
2,"No Contact",50,51,45,51
1,"Recycling Script by Gay Canvasser",53,53,NA,NA
1,"No Contact",91,91,NA,NA
1,"Recycling Script by Gay Canvasser",62,62,NA,NA
2,"No Contact",100,100,100,100
1,"No Contact",100,100,NA,NA
1,"No Contact",53,53,NA,NA
1,"No Contact",50,51,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",67,67,NA,NA
1,"Recycling Script by Gay Canvasser",51,51,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",1,NA,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",37,37,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",41,45,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",80,84,70,85
1,"Recycling Script by Gay Canvasser",54,54,NA,NA
1,"Recycling Script by Straight Canvasser",50,49,NA,NA
1,"No Contact",100,93,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,95,100
1,"No Contact",50,50,NA,NA
1,"No Contact",41,41,NA,NA
1,"No Contact",64,64,NA,NA
1,"Recycling Script by Straight Canvasser",100,99,NA,NA
1,"No Contact",50,43,NA,NA
1,"No Contact",50,49,NA,NA
1,"Recycling Script by Straight Canvasser",50,49,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",31,NA,NA,NA
1,"Recycling Script by Straight Canvasser",30,30,NA,NA
1,"Recycling Script by Straight Canvasser",91,91,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",81,81,NA,NA
1,"No Contact",50,55,NA,NA
1,"No Contact",50,48,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",20,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,42,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",41,41,NA,NA
2,"No Contact",30,27,29,32
1,"Same-Sex Marriage Script by Gay Canvasser",100,94,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",88,88,NA,NA
1,"No Contact",60,NA,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",66,66,NA,NA
1,"Recycling Script by Gay Canvasser",50,53,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",50,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",47,47,NA,NA
2,"No Contact",51,47,43,47
1,"No Contact",40,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",94,100,NA,100
1,"No Contact",41,41,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",66,82,NA,67
1,"No Contact",50,50,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,99,100,98
1,"Same-Sex Marriage Script by Straight Canvasser",98,98,NA,NA
1,"No Contact",50,50,NA,NA
1,"Recycling Script by Gay Canvasser",50,53,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",55,33,60,49
1,"No Contact",50,52,NA,NA
1,"No Contact",32,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",72,74,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",56,56,56,62
1,"Recycling Script by Straight Canvasser",98,NA,NA,NA
2,"No Contact",88,NA,100,89
1,"No Contact",62,62,NA,NA
1,"No Contact",94,94,NA,NA
1,"Recycling Script by Straight Canvasser",100,96,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",17,17,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",50,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",60,60,NA,NA
1,"No Contact",61,61,NA,NA
1,"No Contact",52,52,NA,NA
2,"No Contact",95,NA,100,98
1,"No Contact",54,54,NA,NA
1,"No Contact",2,2,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",91,91,NA,NA
2,"No Contact",100,100,NA,97
1,"No Contact",50,NA,NA,NA
1,"No Contact",100,100,NA,NA
1,"Recycling Script by Gay Canvasser",77,80,NA,NA
1,"No Contact",70,70,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",65,61,59,67
1,"No Contact",95,95,NA,NA
1,"No Contact",50,59,NA,NA
2,"No Contact",76,98,74,68
1,"Same-Sex Marriage Script by Gay Canvasser",50,46,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",90,90,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",71,NA,NA,NA
1,"No Contact",1,1,NA,NA
1,"No Contact",88,88,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",54,65,NA,65
1,"No Contact",38,38,NA,NA
1,"No Contact",70,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,51,52,51
1,"No Contact",6,6,NA,NA
1,"No Contact",50,53,NA,NA
1,"Recycling Script by Gay Canvasser",75,75,NA,NA
1,"No Contact",90,90,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,53,NA,NA
1,"No Contact",84,84,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",72,72,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,53,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",68,69,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,47,43,49
2,"Same-Sex Marriage Script by Gay Canvasser",92,98,100,78
1,"No Contact",71,71,NA,NA
1,"No Contact",98,98,NA,NA
1,"No Contact",57,57,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",40,40,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",96,96,NA,NA
2,"No Contact",18,25,14,21
2,"No Contact",62,NA,60,51
1,"No Contact",99,99,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,56,NA,NA
1,"Recycling Script by Gay Canvasser",83,80,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",51,NA,45,56
1,"Same-Sex Marriage Script by Gay Canvasser",75,75,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,59,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",69,69,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",19,19,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,48,NA,NA
1,"No Contact",66,66,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",98,98,NA,NA
1,"No Contact",31,31,NA,NA
1,"No Contact",85,85,NA,NA
2,"No Contact",50,NA,42,NA
2,"Same-Sex Marriage Script by Gay Canvasser",91,91,86,98
1,"Recycling Script by Straight Canvasser",50,50,NA,NA
1,"No Contact",50,46,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,48,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",6,23,NA,NA
1,"No Contact",100,98,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,49,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",60,60,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,48,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",12,12,NA,NA
1,"No Contact",96,96,NA,NA
1,"No Contact",50,53,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",52,46,56,62
1,"Same-Sex Marriage Script by Gay Canvasser",50,64,NA,NA
1,"No Contact",93,93,NA,NA
2,"No Contact",30,NA,27,31
2,"Same-Sex Marriage Script by Gay Canvasser",100,95,96,89
1,"Same-Sex Marriage Script by Straight Canvasser",4,2,NA,NA
1,"Recycling Script by Gay Canvasser",91,91,NA,NA
2,"No Contact",100,95,100,100
2,"Same-Sex Marriage Script by Gay Canvasser",32,39,40,25
1,"Recycling Script by Gay Canvasser",95,95,NA,NA
2,"No Contact",50,52,56,48
1,"No Contact",100,96,NA,NA
1,"No Contact",80,80,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",4,4,NA,NA
1,"No Contact",50,48,NA,NA
1,"No Contact",69,69,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",2,2,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,NA,NA,NA
1,"Recycling Script by Gay Canvasser",87,NA,NA,NA
1,"No Contact",13,13,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",46,49,NA,NA
2,"No Contact",78,79,90,NA
2,"No Contact",59,63,69,55
1,"Same-Sex Marriage Script by Gay Canvasser",76,76,NA,NA
1,"Recycling Script by Straight Canvasser",50,48,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",90,100,87,88
1,"Same-Sex Marriage Script by Gay Canvasser",50,48,NA,NA
1,"Recycling Script by Gay Canvasser",6,6,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,74,NA,73
1,"No Contact",50,57,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",90,90,NA,NA
1,"No Contact",61,61,NA,NA
1,"No Contact",54,54,NA,NA
1,"Recycling Script by Gay Canvasser",19,19,NA,NA
1,"No Contact",100,99,NA,NA
1,"Recycling Script by Gay Canvasser",31,31,NA,NA
2,"No Contact",6,0,7,10
1,"No Contact",65,65,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",72,72,NA,NA
1,"No Contact",50,55,NA,NA
2,"No Contact",50,46,46,48
1,"No Contact",100,98,NA,NA
1,"No Contact",41,41,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,98,NA,NA
1,"No Contact",63,NA,NA,NA
1,"No Contact",92,92,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",60,60,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",31,31,NA,NA
1,"Recycling Script by Straight Canvasser",15,15,NA,NA
1,"Recycling Script by Straight Canvasser",71,71,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",52,75,NA,NA
1,"No Contact",50,46,NA,NA
1,"Recycling Script by Straight Canvasser",95,95,NA,NA
1,"No Contact",53,53,NA,NA
1,"No Contact",50,47,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,100,100
1,"No Contact",1,1,NA,NA
1,"No Contact",64,64,NA,NA
1,"No Contact",60,NA,NA,NA
1,"No Contact",12,12,NA,NA
1,"No Contact",51,51,NA,NA
1,"Recycling Script by Gay Canvasser",91,91,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",51,51,NA,NA
1,"No Contact",87,87,NA,NA
1,"No Contact",100,98,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",52,52,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",91,91,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,92,100
1,"No Contact",1,1,NA,NA
1,"No Contact",50,50,NA,NA
1,"No Contact",78,78,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",40,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",73,73,NA,NA
1,"Recycling Script by Straight Canvasser",53,NA,NA,NA
1,"No Contact",51,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",95,100,NA,NA
1,"Recycling Script by Gay Canvasser",50,51,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",70,71,50,76
1,"Same-Sex Marriage Script by Gay Canvasser",43,43,NA,NA
1,"No Contact",50,52,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",54,NA,NA,NA
1,"No Contact",6,6,NA,NA
1,"Recycling Script by Gay Canvasser",52,52,NA,NA
1,"Recycling Script by Gay Canvasser",95,95,NA,NA
1,"No Contact",91,91,NA,NA
1,"No Contact",50,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",27,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",41,42,NA,NA
1,"Recycling Script by Straight Canvasser",66,66,NA,NA
1,"No Contact",46,46,NA,NA
1,"No Contact",50,46,NA,NA
1,"Recycling Script by Gay Canvasser",100,99,NA,NA
1,"No Contact",95,95,NA,NA
2,"No Contact",50,NA,NA,56
1,"Same-Sex Marriage Script by Straight Canvasser",47,47,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,45,50,50
1,"No Contact",75,75,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",81,89,NA,NA
1,"No Contact",47,47,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",4,0,9,8
1,"No Contact",50,50,NA,NA
1,"No Contact",61,61,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",10,10,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",71,82,80,72
1,"Same-Sex Marriage Script by Straight Canvasser",62,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",98,NA,100,90
1,"No Contact",60,NA,NA,NA
1,"No Contact",94,94,NA,NA
1,"Recycling Script by Straight Canvasser",62,NA,NA,NA
1,"No Contact",86,86,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
2,"No Contact",51,54,57,66
1,"No Contact",71,71,NA,NA
1,"Recycling Script by Gay Canvasser",52,52,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",80,80,NA,NA
1,"No Contact",99,99,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",90,90,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",87,92,95,82
1,"No Contact",57,57,NA,NA
1,"Recycling Script by Gay Canvasser",47,47,NA,NA
1,"No Contact",50,54,NA,NA
1,"No Contact",50,45,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
1,"No Contact",45,45,NA,NA
1,"Recycling Script by Straight Canvasser",61,61,NA,NA
1,"Recycling Script by Gay Canvasser",49,49,NA,NA
1,"Recycling Script by Gay Canvasser",50,53,NA,NA
1,"No Contact",50,54,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",39,31,31,34
1,"No Contact",50,46,NA,NA
1,"No Contact",96,96,NA,NA
1,"No Contact",98,98,NA,NA
1,"Recycling Script by Straight Canvasser",100,99,NA,NA
1,"No Contact",60,60,NA,NA
2,"No Contact",80,86,76,82
1,"No Contact",51,51,NA,NA
1,"No Contact",2,2,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,98,NA,NA
1,"No Contact",69,69,NA,NA
1,"No Contact",50,48,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",10,10,NA,NA
1,"No Contact",90,90,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,46,NA,NA
1,"No Contact",33,33,NA,NA
1,"Recycling Script by Gay Canvasser",50,57,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,98,98,88
1,"No Contact",54,54,NA,NA
1,"No Contact",81,81,NA,NA
1,"No Contact",81,81,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,49,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",1,1,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",100,99,NA,NA
1,"Recycling Script by Straight Canvasser",50,44,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",74,74,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,NA,100,100
1,"No Contact",50,45,NA,NA
1,"No Contact",50,55,NA,NA
1,"No Contact",57,NA,NA,NA
1,"No Contact",72,72,NA,NA
1,"No Contact",29,29,NA,NA
1,"No Contact",81,81,NA,NA
2,"No Contact",60,50,69,75
1,"No Contact",98,98,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",99,75,91,86
1,"No Contact",59,59,NA,NA
2,"No Contact",66,NA,72,63
1,"No Contact",44,44,NA,NA
1,"No Contact",70,70,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,49,47,43
